age,min_recommended,max_recommended,may_be_appropriate_min,may_be_appropriate_max,min_not_recommended,max_not_recommended
269,7,9,6,11,6,11
270,7,9,6,11,6,11
271,7,9,6,11,6,11
272,7,9,6,11,6,11
273,7,9,6,11,6,11
274,7,9,6,11,6,11
275,7,9,6,11,6,11
276,7,9,6,11,6,11
277,7,9,6,11,6,11
278,7,9,6,11,6,11
279,7,9,6,11,6,11
280,7,9,6,11,6,11
281,7,9,6,11,6,11
282,7,9,6,11,6,11
283,7,9,6,11,6,11
284,7,9,6,11,6,11
285,7,9,6,11,6,11
286,7,9,6,11,6,11
287,7,9,6,11,6,11
288,7,9,6,11,6,11
289,7,9,6,11,6,11
290,7,9,6,11,6,11
291,7,9,6,11,6,11
292,7,9,6,11,6,11
293,7,9,6,11,6,11
294,7,9,6,11,6,11
295,7,9,6,11,6,11
296,7,9,6,11,6,11
297,7,9,6,11,6,11
298,7,9,6,11,6,11
299,7,9,6,11,6,11
300,7,9,6,11,6,11
312,7,9,6,10,6,10
313,7,9,6,10,6,10
314,7,9,6,10,6,10
315,7,9,6,10,6,10
316,7,9,6,10,6,10
317,7,9,6,10,6,10
318,7,9,6,10,6,10
319,7,9,6,10,6,10
320,7,9,6,10,6,10
321,7,9,6,10,6,10
322,7,9,6,10,6,10
323,7,9,6,10,6,10
324,7,9,6,10,6,10
325,7,9,6,10,6,10
326,7,9,6,10,6,10
327,7,9,6,10,6,10
328,7,9,6,10,6,10
329,7,9,6,10,6,10
330,7,9,6,10,6,10
331,7,9,6,10,6,10
332,7,9,6,10,6,10
333,7,9,6,10,6,10
334,7,9,6,10,6,10
335,7,9,6,10,6,10
336,7,9,6,10,6,10
337,7,9,6,10,6,10
338,7,9,6,10,6,10
339,7,9,6,10,6,10
340,7,9,6,10,6,10
341,7,9,6,10,6,10
342,7,9,6,10,6,10
343,7,9,6,10,6,10
344,7,9,6,10,6,10
345,7,9,6,10,6,10
346,7,9,6,10,6,10
347,7,9,6,10,6,10
348,7,9,6,10,6,10
349,7,9,6,10,6,10
350,7,9,6,10,6,10
351,7,9,6,10,6,10
352,7,9,6,10,6,10
353,7,9,6,10,6,10
354,7,9,6,10,6,10
355,7,9,6,10,6,10
356,7,9,6,10,6,10
357,7,9,6,10,6,10
358,7,9,6,10,6,10
359,7,9,6,10,6,10
360,7,9,6,10,6,10
361,7,9,6,10,6,10
362,7,9,6,10,6,10
363,7,9,6,10,6,10
364,7,9,6,10,6,10
365,7,9,6,10,6,10
366,7,9,6,10,6,10
367,7,9,6,10,6,10
368,7,9,6,10,6,10
369,7,9,6,10,6,10
370,7,9,6,10,6,10
371,7,9,6,10,6,10
372,7,9,6,10,6,10
373,7,9,6,10,6,10
374,7,9,6,10,6,10
375,7,9,6,10,6,10
376,7,9,6,10,6,10
377,7,9,6,10,6,10
378,7,9,6,10,6,10
379,7,9,6,10,6,10
380,7,9,6,10,6,10
381,7,9,6,10,6,10
382,7,9,6,10,6,10
383,7,9,6,10,6,10
384,7,9,6,10,6,10
385,7,9,6,10,6,10
386,7,9,6,10,6,10
387,7,9,6,10,6,10
388,7,9,6,10,6,10
389,7,9,6,10,6,10
390,7,9,6,10,6,10
391,7,9,6,10,6,10
392,7,9,6,10,6,10
393,7,9,6,10,6,10
394,7,9,6,10,6,10
395,7,9,6,10,6,10
396,7,9,6,10,6,10
397,7,9,6,10,6,10
398,7,9,6,10,6,10
399,7,9,6,10,6,10
400,7,9,6,10,6,10
401,7,9,6,10,6,10
402,7,9,6,10,6,10
403,7,9,6,10,6,10
404,7,9,6,10,6,10
405,7,9,6,10,6,10
406,7,9,6,10,6,10
407,7,9,6,10,6,10
408,7,9,6,10,6,10
409,7,9,6,10,6,10
410,7,9,6,10,6,10
411,7,9,6,10,6,10
412,7,9,6,10,6,10
413,7,9,6,10,6,10
414,7,9,6,10,6,10
415,7,9,6,10,6,10
416,7,9,6,10,6,10
417,7,9,6,10,6,10
418,7,9,6,10,6,10
419,7,9,6,10,6,10
